date,home_team,away_team,result,b365_1,b365_x,b365_2
2025-01-27,Venezia,Verona,X,2.15,3.5,3.25
2025-01-27,Genoa,Monza,1,2.25,3.0,3.6
2025-01-31,Parma,Lecce,2,2.15,3.4,3.5
2025-02-01,Monza,Verona,2,2.3,3.0,3.5
2025-02-01,Udinese,Venezia,1,1.83,3.4,4.5
2025-02-01,Atalanta,Torino,X,1.42,4.5,7.5
2025-02-01,Bologna,Como,1,1.9,3.5,4.2
2025-02-02,Juventus,Empoli,1,1.36,4.75,9.0
2025-02-02,Fiorentina,Genoa,1,1.65,3.9,5.25
2025-02-02,Milan,Inter,X,4.0,3.5,1.91
2025-02-02,Roma,Napoli,X,3.1,3.2,2.38
2025-02-03,Cagliari,Lazio,2,3.9,3.4,2.0
2025-02-06,Fiorentina,Inter,1,3.6,3.5,2.05
2025-02-07,Como,Juventus,2,3.7,3.4,2.05
2025-02-08,Verona,Atalanta,2,6.25,4.1,1.53
2025-02-08,Empoli,Milan,2,5.5,3.8,1.65
2025-02-08,Torino,Genoa,X,2.2,3.1,3.6
2025-02-09,Venezia,Roma,2,5.0,3.7,1.73
2025-02-09,Cagliari,Parma,1,1.85,3.6,4.1
2025-02-09,Lazio,Monza,1,1.38,4.75,8.5
2025-02-09,Lecce,Bologna,X,4.2,3.5,1.91
2025-02-09,Napoli,Udinese,X,1.44,4.5,7.5
2025-02-10,Inter,Fiorentina,1,1.48,4.75,6.5
2025-02-14,Bologna,Torino,1,1.8,3.4,5.0
2025-02-15,Atalanta,Cagliari,X,1.44,4.75,6.5
2025-02-15,Lazio,Napoli,X,2.63,3.2,2.8
2025-02-15,Milan,Verona,1,1.33,4.75,9.5
2025-02-16,Fiorentina,Como,2,2.0,3.5,3.75
2025-02-16,Monza,Lecce,X,2.7,3.2,2.7
2025-02-16,Udinese,Empoli,1,1.8,3.5,4.75
2025-02-16,Parma,Roma,2,3.6,3.5,2.05
2025-02-16,Juventus,Inter,1,3.4,3.2,2.25
2025-02-17,Genoa,Venezia,1,1.85,3.4,4.5
2025-02-21,Lecce,Udinese,2,3.0,3.0,2.6
2025-02-22,Parma,Bologna,1,4.0,3.5,1.91
2025-02-22,Venezia,Lazio,X,5.0,4.0,1.67
2025-02-22,Torino,Milan,1,3.9,3.3,2.0
2025-02-22,Inter,Genoa,1,1.27,5.25,13.0
2025-02-23,Como,Napoli,1,3.6,3.0,2.25
2025-02-23,Verona,Fiorentina,1,4.33,3.4,1.9
2025-02-23,Empoli,Atalanta,2,6.25,3.9,1.57
2025-02-23,Cagliari,Juventus,2,4.1,3.5,1.9
2025-02-24,Roma,Monza,1,1.33,4.75,11.0
2025-02-27,Bologna,Milan,1,2.88,3.3,2.5
2025-02-28,Fiorentina,Lecce,1,1.75,3.4,5.0
2025-03-01,Atalanta,Venezia,X,1.2,6.5,15.0
2025-03-01,Napoli,Inter,X,3.1,3.2,2.38
2025-03-01,Udinese,Parma,1,1.8,3.6,4.5
2025-03-02,Monza,Torino,2,4.1,3.3,1.95
2025-03-02,Bologna,Cagliari,1,1.57,3.75,6.5
2025-03-02,Genoa,Empoli,X,1.91,3.1,4.75
2025-03-02,Roma,Como,1,1.87,3.6,4.0
2025-03-02,Milan,Lazio,2,2.05,3.6,3.5
2025-03-03,Juventus,Verona,1,1.3,5.0,12.0
2025-03-07,Cagliari,Genoa,X,2.45,3.0,3.2
2025-03-08,Como,Venezia,X,1.57,3.8,6.5
2025-03-08,Parma,Torino,X,3.0,3.25,2.4
2025-03-08,Lecce,Milan,2,4.75,3.6,1.75
2025-03-08,Inter,Monza,1,1.14,7.0,21.0
2025-03-09,Verona,Bologna,2,5.25,3.3,1.75
