date,home_team,away_team,b365_h,b365_x,b365_a,b365_ch,b365_cx,b365_ca
2022-11-06,Monza,Verona,2.2,3.4,3.3,2.15,3.4,3.3
2022-11-06,Sampdoria,Fiorentina,4.2,3.4,1.9,4.33,3.4,1.85
2022-11-06,Roma,Lazio,2.0,3.5,3.8,2.15,3.3,3.5
2022-11-06,Juventus,Inter,3.1,3.4,2.37,3.0,3.25,2.4
2022-11-08,Napoli,Empoli,1.25,6.5,9.5,1.28,6.0,9.0
2022-11-08,Spezia,Udinese,4.0,3.5,1.9,3.8,3.5,2.0
2022-11-08,Cremonese,Milan,6.0,4.2,1.55,6.5,4.0,1.57
2022-11-09,Lecce,Atalanta,4.75,3.5,1.8,3.3,3.1,2.3
2022-11-09,Sassuolo,Roma,3.4,3.6,2.1,3.25,3.6,2.15
2022-11-09,Fiorentina,Salernitana,1.53,4.2,6.25,1.53,4.2,6.0
2022-11-09,Inter,Bologna,1.28,5.75,10.0,1.4,5.0,6.5
2022-11-09,Torino,Sampdoria,1.61,3.8,5.75,1.65,3.5,6.0
2022-11-10,Verona,Juventus,5.0,3.8,1.66,6.0,4.0,1.57
2022-11-10,Lazio,Monza,1.61,4.2,5.0,1.66,3.75,5.0
2022-11-11,Empoli,Cremonese,2.5,3.4,2.8,2.55,3.25,2.87
2022-11-12,Napoli,Udinese,1.5,4.75,5.75,1.5,4.75,5.75
2022-11-12,Sampdoria,Lecce,2.62,3.0,3.0,3.0,2.75,2.75
2022-11-12,Bologna,Sassuolo,2.3,3.5,3.0,2.25,3.4,3.2
2022-11-13,Atalanta,Inter,3.1,3.75,2.2,2.87,3.6,2.37
2022-11-13,Monza,Salernitana,2.15,3.25,3.6,1.95,3.4,4.0
2022-11-13,Roma,Torino,1.9,3.4,4.33,1.8,3.4,4.75
2022-11-13,Verona,Spezia,2.1,3.4,3.6,2.0,3.6,3.75
2022-11-13,Milan,Fiorentina,1.7,3.8,5.0,1.65,4.0,5.0
2022-11-13,Juventus,Lazio,1.95,3.5,4.0,1.83,3.3,4.5
2023-01-04,Salernitana,Milan,7.0,4.33,1.45,8.5,5.0,1.36
2023-01-04,Sassuolo,Sampdoria,1.73,3.75,4.75,1.7,3.8,5.0
2023-01-04,Spezia,Atalanta,4.75,3.8,1.67,4.75,3.75,1.73
