date,home_team,away_team,result,b365_1,b365_x,b365_2
2014-01-25,Napoli,Chievo,X,1.29,5.25,10.0
2014-01-26,Cagliari,Milan,2,3.8,3.3,2.0
2014-01-26,Fiorentina,Genoa,X,1.33,4.75,10.0
2014-01-26,Inter,Catania,X,1.33,4.75,9.5
2014-01-26,Livorno,Sassuolo,1,2.4,3.1,3.1
2014-01-26,Parma,Udinese,1,2.0,3.3,3.8
2014-01-26,Sampdoria,Bologna,X,1.75,3.4,5.0
2014-01-26,Torino,Atalanta,1,1.75,3.4,5.0
2014-01-26,Verona,Roma,2,4.75,3.6,1.75
2014-02-01,Milan,Torino,X,1.6,3.8,5.75
2014-02-01,Bologna,Udinese,2,2.5,3.1,2.9
2014-02-01,Cagliari,Fiorentina,1,3.25,3.2,2.25
2014-02-02,Atalanta,Napoli,1,4.33,3.4,1.85
2014-02-02,Catania,Livorno,X,1.91,3.4,4.0
2014-02-02,Chievo,Lazio,2,3.1,3.1,2.4
2014-02-02,Juventus,Inter,1,1.4,4.5,7.5
2014-02-02,Sassuolo,Verona,2,2.38,3.2,3.0
2014-02-03,Genoa,Sampdoria,2,2.5,3.2,2.88
2014-02-08,Udinese,Chievo,1,1.83,3.4,4.5
2014-02-08,Napoli,Milan,1,2.0,3.4,3.75
2014-02-08,Fiorentina,Atalanta,1,1.44,4.33,7.0
2014-02-09,Inter,Sassuolo,1,1.33,4.75,10.0
2014-02-09,Lazio,Roma,X,3.75,3.4,2.0
2014-02-09,Livorno,Genoa,2,2.4,3.2,3.0
2014-02-09,Parma,Catania,X,1.57,3.6,6.5
2014-02-09,Sampdoria,Cagliari,1,2.1,3.25,3.5
2014-02-09,Torino,Bologna,2,1.57,3.75,6.0
2014-02-09,Verona,Juventus,X,8.0,4.5,1.4
2014-02-14,Milan,Bologna,1,1.33,5.0,9.0
2014-02-15,Fiorentina,Inter,2,2.1,3.4,3.4
2014-02-16,Roma,Sampdoria,1,1.33,5.0,9.0
2014-02-16,Catania,Lazio,1,3.3,3.2,2.25
2014-02-16,Sassuolo,Napoli,2,6.0,3.8,1.57
2014-02-16,Juventus,Chievo,1,1.14,7.5,17.0
2014-02-16,Cagliari,Livorno,2,1.75,3.4,5.0
2014-02-16,Atalanta,Parma,2,2.5,3.25,2.8
2014-02-16,Genoa,Udinese,X,2.75,3.1,2.63
2014-02-17,Verona,Torino,2,2.3,3.3,3.1
2014-02-22,Bologna,Roma,2,7.0,4.0,1.5
2014-02-23,Livorno,Verona,2,2.38,3.25,3.0
2014-02-23,Chievo,Catania,1,2.15,3.1,3.6
2014-02-23,Inter,Cagliari,X,1.44,4.2,7.5
2014-02-23,Juventus,Torino,1,1.22,6.0,12.0
2014-02-23,Lazio,Sassuolo,1,1.44,4.2,7.5
2014-02-23,Sampdoria,Milan,2,3.2,3.2,2.3
2014-02-23,Udinese,Atalanta,X,1.75,3.4,5.0
2014-02-24,Napoli,Genoa,X,1.29,5.0,12.0
2014-02-24,Parma,Fiorentina,X,2.4,3.2,3.0
2014-03-01,Roma,Inter,X,1.62,3.8,5.5
2014-03-02,Torino,Sampdoria,2,1.83,3.25,4.75
2014-03-02,Milan,Juventus,2,3.6,3.5,2.0
2014-03-02,Verona,Bologna,X,1.91,3.5,4.0
2014-03-02,Livorno,Napoli,X,6.0,4.0,1.53
2014-03-02,Sassuolo,Parma,2,3.5,3.4,2.05
2014-03-02,Fiorentina,Lazio,2,1.91,3.3,4.2
2014-03-02,Cagliari,Udinese,1,2.38,3.2,3.0
2014-03-02,Atalanta,Chievo,1,2.05,3.25,3.75
2014-03-02,Genoa,Catania,1,2.1,3.25,3.6
2014-03-08,Catania,Cagliari,X,2.2,3.25,3.3
2014-03-08,Udinese,Milan,1,3.0,3.25,2.38
2014-03-09,Sampdoria,Livorno,1,1.75,3.4,5.0
2014-03-09,Parma,Verona,1,1.73,3.7,4.6
2014-03-09,Napoli,Roma,1,2.2,3.3,3.3
2014-03-09,Lazio,Atalanta,2,1.57,3.8,6.0
2014-03-09,Inter,Torino,1,1.57,4.0,5.5
2014-03-09,Chievo,Genoa,1,2.1,3.2,3.6
2014-03-09,Bologna,Sassuolo,X,1.91,3.4,4.0
2014-03-09,Juventus,Fiorentina,1,1.4,4.6,7.5
2014-03-15,Verona,Inter,2,3.25,3.4,2.15
2014-03-16,Milan,Parma,2,1.8,3.6,4.33
2014-03-16,Atalanta,Sampdoria,1,2.25,3.2,3.3
2014-03-16,Cagliari,Lazio,2,2.75,3.1,2.63
2014-03-16,Fiorentina,Chievo,1,1.53,4.0,6.0
2014-03-16,Genoa,Juventus,2,7.0,4.33,1.44
2014-03-16,Livorno,Bologna,1,2.2,3.2,3.4
2014-03-16,Sassuolo,Catania,1,2.2,3.2,3.4
2014-03-17,Torino,Napoli,2,3.4,3.3,2.15
2014-03-17,Roma,Udinese,1,1.36,4.5,9.5
2014-03-22,Torino,Livorno,1,1.62,3.6,6.0
2014-03-22,Chievo,Roma,2,6.5,3.6,1.57
2014-03-23,Bologna,Cagliari,1,2.3,3.1,3.25
2014-03-23,Catania,Juventus,2,8.0,4.5,1.4
2014-03-23,Inter,Atalanta,2,1.44,4.2,7.5
2014-03-23,Lazio,Milan,X,2.5,3.2,2.88
2014-03-23,Napoli,Fiorentina,2,1.83,3.5,4.33
2014-03-23,Parma,Genoa,X,1.57,3.75,6.0
2014-03-23,Sampdoria,Verona,1,2.0,3.3,3.8
2014-03-23,Udinese,Sassuolo,1,1.62,3.6,6.0
2014-03-25,Roma,Torino,1,1.4,4.5,8.0
2014-03-26,Sassuolo,Sampdoria,2,2.6,3.2,2.75
2014-03-26,Juventus,Parma,1,1.33,5.0,9.0
2014-03-26,Genoa,Lazio,1,3.0,3.2,2.4
2014-03-26,Fiorentina,Milan,2,2.2,3.3,3.25
2014-03-26,Catania,Napoli,2,4.75,3.6,1.75
2014-03-26,Cagliari,Verona,1,2.1,3.25,3.5
2014-03-26,Atalanta,Livorno,1,1.83,3.4,4.5
