date,home_team,away_team,result,home_goals,away_goals,b365_1,b365_x,b365_2
2024-01-28,Monza,Sassuolo,H,1,0,2.25,3.4,3.2
2024-01-28,Verona,Frosinone,D,1,1,2.45,3.3,2.9
2024-01-28,Lazio,Napoli,D,0,0,2.25,3.3,3.3
2024-01-28,Fiorentina,Inter,A,0,1,4.2,3.6,1.85
2024-01-29,Salernitana,Roma,A,1,2,5.25,3.8,1.67
2024-02-02,Lecce,Fiorentina,H,3,2,3.75,3.2,2.1
2024-02-03,Empoli,Genoa,D,0,0,3.0,3.0,2.6
2024-02-03,Udinese,Monza,D,0,0,2.25,3.3,3.3
2024-02-03,Frosinone,Milan,A,2,3,5.0,4.2,1.62
2024-02-03,Bologna,Sassuolo,H,4,2,1.7,3.75,5.0
2024-02-04,Torino,Salernitana,D,0,0,1.5,4.0,7.5
2024-02-04,Napoli,Verona,H,2,1,1.4,4.5,8.5
2024-02-04,Atalanta,Lazio,H,3,1,2.05,3.4,3.75
2024-02-04,Inter,Juventus,H,1,0,1.8,3.5,4.75
2024-02-05,Roma,Cagliari,H,4,0,1.44,4.33,7.5
2024-02-09,Salernitana,Empoli,A,1,3,2.38,3.2,3.2
2024-02-10,Cagliari,Lazio,A,1,3,3.5,3.3,2.15
2024-02-10,Roma,Inter,A,2,4,4.2,3.5,1.91
2024-02-10,Sassuolo,Torino,D,1,1,3.4,3.3,2.2
2024-02-11,Fiorentina,Frosinone,H,5,1,1.5,4.33,6.5
2024-02-11,Bologna,Lecce,H,4,0,1.73,3.6,5.25
2024-02-11,Monza,Verona,D,0,0,2.05,3.4,3.75
2024-02-11,Genoa,Atalanta,A,1,4,3.75,3.3,2.05
2024-02-11,Milan,Napoli,H,1,0,1.95,3.6,3.8
2024-02-12,Juventus,Udinese,A,0,1,1.44,4.5,8.0
2024-02-14,Bologna,Fiorentina,H,2,0,2.3,3.2,3.2
2024-02-16,Torino,Lecce,H,2,0,1.8,3.4,4.75
2024-02-16,Inter,Salernitana,H,4,0,1.14,8.5,15.0
2024-02-17,Napoli,Genoa,D,1,1,1.6,3.75,6.0
2024-02-17,Verona,Juventus,D,2,2,5.75,3.5,1.67
